Chinese,Korean
名 紫菜卷饭,김밥
名  辣炒年糕,떡볶이
名 雪嶽山  雪岳山,설악산
名 人分 份儿,인분
 …期间 ，…中 ，…时,중에서
副 普通 通常，一般,보통
名 生菜,상추
名 外國 ,외국
名 從業員  工作人员，职工,종업원
助 表示尊敬或强调的辅助词,요
"他動 给, 给与",주다
"他動 进, 呈献，奉上",드리다
代 什么,뭘
名 水,물
量 盞 杯 ，盏 ，盅,잔
量 甁 瓶,병
量  碗,그릇
"名 砂糖/沙糖 糖, 糖果 (雪糖)",사탕
名coffee ,커피
名 chocolate ,초콜릿
名 燒酒 ,소주
名 沙果/砂果 苹果,사과
名 肚子 ，腹部,배
形 饿 ，饥饿  ,고프다
名 腿，下肢,다리
形 疼，痛,아프다
名 單語  单词，词语,단어
他動 不知道，不认识,모르다
名 orange 橙子,오렌지
名 cake 蛋糕,케이크
名 生日 ,생일
名 英語 ,영어
名 日語 ,일어
名combination 组合,콤비네이션
名pizza ,피자
名spaghetti ,스파게티
名 lasagna 千层面,라자나
名ちゃんぽん 杂烩面,짬뽕
名  炒饭 ,볶음밥
名 糖水肉 糖醋肉片,탕수육
名 客人，宾客,손님
名 -冷麵 ,물냉면
拌冷麵,비빔냉면
名  酒馆，酒家,술집
"他動 让 ，使唤, 点 (菜)",시키다
"他動 喝 ，饮, 呼吸",마시다
"他動  懂 ，理解, 知道",알겠습니다
副 只今 现在，目前，此时,지금
名 時間 ,시간
名 時 点，时,시
名分 分，分钟,분
名 圓 ￦ ,원
"名 半 半, 一半",반
名 時計 시게 表，钟，钟表,시계
名 午前 上午,오전
名 午後 下午,오후
助 到，到 …为止,까지
后缀 表示程度,쯤
名 會議 开会，会议,회의
副 暂时，稍微，一会儿,잠깐
助 和、与、跟,과/와
"動 说，谈, 讲故事",이야기하다
形  感谢，感激,고맙다
 未来时，将要…,을/ㄹ 거예요
名 月 ,월
名 日 ,일
名 來日 明天，明日,내일
"名 几号, 几天",며칠
代  什么,뭐
感歎 不清楚，是啊,글쎄요
動 休息，休憩,쉬다
名 曜日 星期,요일
名 下宿- 寄宿，客栈,하숙집
副 快，赶快,어서
名 -番 这次，这回,이번
名 旅行 ,여행
"代 那边 ，那里, 那个",거기
名 濟州島 ,제주도
名 放學 学校放假,방학
代 什么时候，何时,언제
"名 一天，一日,  白天",날
"名 試驗 考试, 考查",시험
名 party 宴会，茶话会,파티
助 从，起，自从，由此,부터
名 时候，时机,때
名 卒業式  毕业典礼   ,졸업식
"名 早晨,  早餐",아침
名 點心 午饭，午餐,점심
"名 傍晚，黄昏,  晚饭，밤",저녁
"名 授業 讲课, 听课",수업
"自動  起床, 起身",일어나다
名 酒，酒水,술
"他動 喝，饮, 吸",마시다
自動 洗手-- 洗脸,세수하다
名 牙，牙齿,이
"他動 乘坐,  搭乘",타다
他動 擦，拭，抹，刷        ,닦다
"動 下，降，落, 拿下, 下达  ",내리다
名 睡觉，睡眠 ,잠
名 食事 饭菜 ，饭  ,식사
